"PREMIO_SEGURO_LIQUIDO","PREMIO_Resseguro_Bruto","COMISSAO_Resseguro","LMG_Ultimo_Unique","PREMIO_NET_Corrigido","COMISSAO_de_Resseguro_Corrigida","Check_Premio_de_Resseguro"
42187,4219,485,2e+06,3734,485,4219
72153,7215,830,79500000,6386,830,7215
208464,20846,2397,7.6e+07,18449,2397,20846
364303,54645,6284,44131003,48361,6284,54645
78400,15680,1803,123598926,13877,1803,15680
285,71,8,4.5e+07,63,8,71
118958,11896,1368,2e+07,10528,1368,11896
157600,39400,4531,23250000,34869,4531,39400
241810,36272,4171,15215,32100,4171,36272
8636,432,50,98500000,382,50,432
90899,18180,2091,42140221,16089,2091,18180
132156,26431,3040,46399925,23392,3040,26431
150077,22512,2589,82500000,19923,2589,22512
110453,22091,2540,9.1e+07,19550,2540,22091
4988,499,57,7.6e+07,441,57,499
12656,3164,364,56500000,2800,364,3164
385000,77000,8855,8.9e+07,68145,8855,77000
270785,27079,3114,65251739,23964,3114,27079
92509,23127,2660,33100000,20468,2660,23127
170406,42601,4899,117683333,37702,4899,42601
168350,42087,4840,3.5e+07,37247,4840,42087
172067,25810,2968,1.3e+08,22842,2968,25810
90126,22532,2591,48452000,19940,2591,22532
220,55,6,4.5e+07,49,6,55
51760,15528,1786,14524460,13742,1786,15528
39840,7968,916,1e+07,7052,916,7968
226711,34007,3911,104414800,30096,3911,34007
67438,10116,1163,17156000,8952,1163,10116
138353,34588,3978,25400000,30611,3978,34588
104772,10477,1310,22500000,9168,1310,10477
29550,4432,554,1.1e+08,3878,554,4432
14000,1400,175,1.8e+07,1225,175,1400
252739,50548,6318,1.15e+08,44229,6318,50548
-32741,-8185,-1023,26817507,-7162,-1023,-8185
120037,12004,1500,15375250,10503,1500,12004
136005,27201,3400,12210000,23801,3400,27201
108960,21792,2724,19200000,19068,2724,21792
98597,24649,3081,31040000,21568,3081,24649
108871,21774,2722,1.8e+07,19052,2722,21774
14952,2990,374,94874292,2617,374,2990
316633,31663,3958,87998400,27705,3958,31663
42294,8459,1057,48680000,7401,1057,8459
132156,26431,3304,46399925,23127,3304,26431
264000,66000,8250,1.19e+08,57750,8250,66000
